epa_file_#,named_entity_x,clean_date_received_x,detailed_status,simplified status,Reason for rejection (if applicable),Date of EPA decision,"Presidential administration (considering, if pending; decided, if not)",Environmental Justice Issue(s) Cited,Alleged Discrimination Basis,City,State,ZIP code,Community Impacted,Filed by a lawyer?,Group filing,Filed on behalf of,Is this an EPA-initiated compliance review?,Does the complaint seem to be about an environmental justice matter? ,Notes on EJ categorization,Is there more than one complaint about the matter?,All related complaint numbers,"Total related complaints (includes situations where they're all unique, e.g. complaints filed at different times)","Count this as a unique complaint? (If part of a split complaint, the case with the highest EPA action status is marked ""yes"")",Complaint link,Notes,Additional notes,status check
04x-23-r5,"Carroll County, IL Sheriff Dept.",2022-11-27,"rejected 12/6/2022: lack of discriminatory act, lack of timeliness",rejected,"Lack of discriminatory act, lack of timeliness",12/6/2022,Biden,"Grab bag of chemicals mentioned, but not the basis; letter suggests mental confusion",Unknown,Savanna,IL,61074,Not mentioned,No,Redacted individual,,No,No,No discrimination cited,,,1,yes,https://www.epa.gov/system/files/documents/2023-01/04X-23-R5%20Complaint_Redacted_0.pdf,"Though the complaint mentions chemical exposure, seems likely that there's a mental health concern at play (""There is anhydrous ammonia with no asulterants in my toilet and before it was benzine. Sometimes I piss in the toilet and it creates mustard gas. ... The sheriff's department and police Department ... kill people in the back of ambulances and in the hospitals. They use mustard gas when you open the window to kill people and the Department of Justice is in town it seems to catch these guys. Their uniforms are covered in these chemicals when they do house visits and my house seems to be filled with benzine.""",,"Rejected 12/6/2022: Lack of Discriminatory Act, Lack of Timeliness"
05no-23-r6,texas comm. on envir. quality,2022-11-16,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,Lack of ability to comment on wastewater permit because there was no notice in Spanish of a hearing,Title VI: National Origin,Spring Branch,TX,78070,Spanish-speaking residents,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2023-01/05NO-23-R6%20Complaint_Redacted.pdf,ZIP code and community pulled from the wastewater permit number referenced in the complaint,,Pending: Under Jurisdictional Review
03x-23-r6,caddo corr. center (louisiana),2022-11-08,rejected and referred to doj 11/9/2022: lack of jurisdiction,rejected and referred,Lack of jurisdiction,11/9/2022,Biden,"Environment ""unsanitary and inhumane"" (references COVID)",Unknown,Shreveport,LA,71137,Inmates,No,Redacted individual,,No,No,Complaint did reference unsanitary environment but is focused on COVID and other illnesses. Does not have a clear environment connection.,,,1,yes,https://www.epa.gov/system/files/documents/2022-11/03X-23-R6%20Complaint_Redacted.pdf,Complaint did reference unsanitary environment but is focused on COVID and other illnesses. Does not have a clear environment connection.,,Rejected and Referred to DOJ 11/9/2022: Lack of Jurisdiction
03x-23-r5,kinross corr. facility (michigan),2022-11-02,rejected and referred to doj 11/8/2022: lack of jurisdiction,rejected and referred,Lack of jurisdiction,11/8/2022,Biden,None listed,Unknown,Kincheloe,MI,49788,Inmates,No,Redacted individual,,No,No,The complaint did not include any environmental issues. It was focused on an allegation that the person was misidentified as a different inmate and had been transferred from a Tennessee jail to a Michigan prison.,,,1,yes,https://www.epa.gov/system/files/documents/2022-11/03X-23-R5%20Complaint_Redacted.pdf,The complaint did not include any environmental issues. It was focused on an allegation that the person was misidentified as a different inmate and had been transferred from a Tennessee jail to a Michigan prison.,,Rejected and Referred to DOJ 11/8/2022: Lack of Jurisdiction
02rno-23-r5,illinois epa,2022-10-31,rejected/admin. closure 1/5/2023: anonymous complaint,rejected,anonymous complaint,1/5/2023,Biden,"State EPA approving air permits and allowing its minor modifications process to ""circumvent meaningful public participation"" in ""EJ areas""","Title VI: Race, National Origin","""impacted communities in Illinois"" (one of the facilities listed is in Cicero)",IL,60804,"""discrimination on the basis of Race, Color and National Origin""; ""EJ areas""",No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-11/02RNO-23-R5%20Complaint_Redacted.pdf,ZIP code and community pulled from the Illinois EPA site,,Rejected/Admin. Closure 1/5/2023: Anonymous Complaint
01r-23-r6,"city of corpus christi, tx",2022-10-26,Rejected w/o Prejudice in Light of Pending HUD Investigation: 3/22/2023,rejected,Pending other agency investigation,3/22/2023,Biden,Siting a desalination plant in an overburdened EJ community,Title VI: Race,Corpus Christi,TX,78401,Black & Latino residents ,Yes,Earthjustice,Hillcrest Residents Association; Citizens Alliance for Fairness and Progress,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-11/01R-23-R6%20Complaint%20and%20Exhibits_Redacted.pdf,"Flagging that this community has a ton of polluting sites, including highways. The Federal Highway Administration stepped in years ago to get the state to mitigate related to a bridge project, but no action has been taken: https://www.caller.com/story/news/local/2023/02/28/complaint-txdot-has-notcompleted-harbor-bridge-mitigation-for-hillcrest/69936380007/. Most residents have left: ""The complaint comes as most of Hillcrest's residents have left the neighborhood, opting into a Port of Corpus Christi-run land acquisition and relocation program created as a result of a civil rights complaint against the bridge project. Last year, the city estimated that 150 households — down from 500 in 2015 — remained in Hillcrest."" (I -- Jamie -- was there in 2018: https://apps.publicintegrity.org/blowout/texas-oil-gas-boom-port-cities/) Unredacted version of the complaint: https://earthjustice.org/wp-content/uploads/inner_harbor_title_vi_complaint_oct26_final.pdf",,Rejected w/o Prejudice in Light of Pending HUD Investigation: 3/22/2023
01r-23-r3,baltimore dept. of public works,2022-10-24,pending: under jurisdictional review,pending: under jurisdictional review,,Not yet decided,Biden,Residents not notified promptly about E. coli in the drinking water,Title VI: Race,Baltimore,MD,"multiple: West Baltimore, but complainant is in 21229",primarily Black community,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-11/01R-23-R3%20Complaint_Redacted.pdf,,,Pending: Under Jurisdictional Review
01rno-23-r5,indiana dept. of envir. mgmt.,2022-10-21,rejected w/o prejudice - pending in-state petitions: 1/26/2023,rejected,Pending in-state petitions,1/26/2023,Biden,Approving air permits for Maya Energy and Fulcrum Counterpoint in an EJ community,"Title VI: Race, National Origin",Gary,IN,not listed; the projects named are in 46408 and 46406,primarily Black community,No,Gary Advocates for Responsible Development,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-10/01RNO-23-R5%20Complaint_Redacted.pdf,Write-up about them from an advocacy org: https://anthropocenealliance.org/gary-advocates-for-responsible-development/,,Rejected w/o Prejudice - Pending In-state Petitions: 1/26/2023
06r-22-r4,mississippi dept. of health,2022-09-27,pending: under investigation,pending: under investigation,,Not yet decided,Biden,"The water crisis in Jackson (""persistently unsafe and unreliable drinking water""",Title VI: Race,Jackson,MS,"Multiple, complaint is in 39215",majority Black residents ,Yes,Residents; NAACP; Mississippi Center for Justice; Mississippi State Conference of the NAACP,,No,Yes,,Yes,"06r-22-r4, 07r-22-r4, 08r-22-r4",3,no,https://www.epa.gov/system/files/documents/2022-10/06R-22-R4%20Complaint_Redacted_0.pdf,,,Pending: Under Investigation
07r-22-r4,mississippi dept. of environmental quality,2022-09-27,pending: under investigation,pending: under investigation,,Not yet decided,Biden,"The water crisis in Jackson (""persistently unsafe and unreliable drinking water""",Title VI: Race,Jackson,MS,"Multiple, complaint is in 39215",majority Black residents ,Yes,Residents; NAACP; Mississippi Center for Justice; Mississippi State Conference of the NAACP,,No,Yes,,Yes,"06r-22-r4, 07r-22-r4, 08r-22-r4",3,yes,,,,Pending: Under Investigation
08r-22-r4,mississippi dept. of finance and administration,2022-09-27,rejected 10/20/2022: lack of jurisdiction,rejected,Lack of jurisdiction,10/20/2022,Biden,"The water crisis in Jackson (""persistently unsafe and unreliable drinking water""); diverting federal funds awarded to ensure safe drinking water",Title VI: Race,Jackson,MS,Multiple,primarily Black community,Yes,Residents; NAACP; Mississippi Center for Justice; Mississippi State Conference of the NAACP,,No,Yes,,Yes,"06r-22-r4, 07r-22-r4, 08r-22-r4",3,no,https://www.epa.gov/system/files/documents/2022-10/08R-22-R4%20Complaint_Redacted.pdf,,,Rejected 10/20/2022: Lack of Jurisdiction
07x-22-r6,caddo correctional center (louisiana),2022-08-23,rejected and referred to doj 10/3/2022: lack of jurisdiction,rejected and referred,Lack of jurisdiction,10/3/2022,Biden,"""unsanitary and inhumane living conditions,"" other problems",Unknown,Shreveport,LA,71137,Inmates,No,Redacted individuals,,No,No,Does not have an environment connection.,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/07X-22-R6%20Complaint_Redacted.pdf,Does not have an environment connection.,,Rejected and Referred to DOJ 10/3/2022: Lack of Jurisdiction
02x-22-r8,wyoming women's correctional center,2022-08-23,rejected and referred to doj 10/3/2022: lack of jurisdiction,rejected and referred,Lack of jurisdiction,10/3/2022,Biden,Three uranium mines beside a women's prison,Unknown (envir. conditions),Lusk,WY,82225,Inmates,No,Redacted individual,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-09/02X-22-R8%20Complaint_Redacted.pdf,"""It is my understanding that the Feds issued mandates that the people here were not to drink the water here as this town is basically designated as a hazardous waste site. ... The state of Wyoming should have shut this facility down many years ago."" Can't find a story about that, but there have been stories about the bad conditions in the prison: https://wyofile.com/womens-prison-conditions-like-stockyard-say-former-inmates/",,Rejected and Referred to DOJ 10/3/2022: Lack of Jurisdiction
01rno-22-r7,missouri dnr,2022-08-10,rejected and referred to hhs 1/4/2023: lack of jurisdiction (permit in question not issued by missouri dnr),rejected and referred,Lack of jurisdiction,1/4/2023,Biden,landfills approved in the towns of LaMonte and Dresden,"Title VI: Race, National Origin",LaMonte and Dresden,MO,65337 and 65301,"Significant share of residents are Latino, limited English proficiency",No,Redacted individuals,,No,Yes,,,,1,yes,https://www.epa.gov/system/files/documents/2022-08/01RNO-22-R7%20Complaint_Redacted.pdf,,,Rejected and Referred to HHS 1/4/2023: Lack of Jurisdiction (permit in question not issued by Missouri DNR)
02rr-22-r9,cnmi small business administration step program,2022-08-04,rejected 10/3/2022: lack of jurisdiction; complaint concurrently filed with sba,rejected,Lack of jurisdiction,10/3/2022,Biden,None listed,Title VI: Race,SAIPAN,MP,96950,N/A,No,Redacted individual,,No,No,"No environmental issues cited. It's a complaint about not being allowed to participate in person at a class that the complainant says is an EPA grantee, having to participate online and missing a free lunch.",,,1,yes,https://www.epa.gov/system/files/documents/2022-09/02R-22-R9%20Complaint%20Redacted.pdf,"No environmental issues cited. It's a complaint about not being allowed to participate in person at a class that the complainant says is an EPA grantee, having to participate online and missing a free lunch.",,Rejected 10/3/2022: Lack of jurisdiction; complaint concurrently filed with SBA
